2026/05/19 15:33:44.498079 [DEBUG] Registered tool: read_file (category=/code, priority=90)
2026/05/19 15:33:44.498609 [DEBUG] Registered tool: write_file (category=/code, priority=80)
2026/05/19 15:33:44.498609 [DEBUG] Registered tool: edit_file (category=/code, priority=85)
2026/05/19 15:33:44.498609 [DEBUG] Registered tool: delete_file (category=/code, priority=50)
2026/05/19 15:33:44.498609 [DEBUG] Registered tool: list_files (category=/code, priority=85)
2026/05/19 15:33:44.498609 [DEBUG] Registered tool: glob (category=/code, priority=85)
2026/05/19 15:33:44.498609 [DEBUG] Registered tool: grep (category=/code, priority=85)
2026/05/19 15:33:44.498609 [DEBUG] Registered tool: search_code (category=/code, priority=85)
2026/05/19 15:33:44.498609 [DEBUG] Registered tool: read_file (category=/code, priority=90)
2026/05/19 15:33:44.498609 [DEBUG] Registered tool: write_file (category=/code, priority=80)
2026/05/19 15:33:44.498609 [DEBUG] Registered tool: edit_file (category=/code, priority=85)
2026/05/19 15:33:44.498609 [DEBUG] Registered tool: delete_file (category=/code, priority=50)
2026/05/19 15:33:44.498609 [DEBUG] Registered tool: list_files (category=/code, priority=85)
2026/05/19 15:33:44.498609 [DEBUG] Registered tool: glob (category=/code, priority=85)
2026/05/19 15:33:44.498609 [DEBUG] Registered tool: grep (category=/code, priority=85)
2026/05/19 15:33:44.498609 [DEBUG] Registered tool: search_code (category=/code, priority=85)
2026/05/19 15:33:44.498609 [DEBUG] Registered tool: run_command (category=/code, priority=70)
2026/05/19 15:33:44.498609 [DEBUG] Registered tool: bash (category=/code, priority=70)
2026/05/19 15:33:44.498609 [DEBUG] Registered tool: run_build (category=/code, priority=75)
2026/05/19 15:33:44.498609 [DEBUG] Registered tool: run_tests (category=/test, priority=75)
2026/05/19 15:33:44.498609 [DEBUG] Registered tool: git_diff (category=/code, priority=70)
2026/05/19 15:33:44.498609 [DEBUG] Registered tool: git_log (category=/code, priority=70)
2026/05/19 15:33:44.498609 [DEBUG] Registered tool: git_operation (category=/code, priority=70)
2026/05/19 15:33:44.498609 [DEBUG] Registered tool: run_command (category=/code, priority=70)
2026/05/19 15:33:44.498609 [DEBUG] Registered tool: bash (category=/code, priority=70)
2026/05/19 15:33:44.498609 [DEBUG] Registered tool: run_build (category=/code, priority=75)
2026/05/19 15:33:44.498609 [DEBUG] Registered tool: run_tests (category=/test, priority=75)
2026/05/19 15:33:44.498609 [DEBUG] Registered tool: git_diff (category=/code, priority=70)
2026/05/19 15:33:44.498609 [DEBUG] Registered tool: git_log (category=/code, priority=70)
2026/05/19 15:33:44.498609 [DEBUG] Registered tool: git_operation (category=/code, priority=70)
2026/05/19 15:33:44.498609 [DEBUG] Registered tool: get_elements (category=/code, priority=80)
2026/05/19 15:33:44.498609 [DEBUG] Registered tool: get_element (category=/code, priority=80)
2026/05/19 15:33:44.498609 [DEBUG] Registered tool: edit_lines (category=/code, priority=80)
2026/05/19 15:33:44.498609 [DEBUG] Registered tool: insert_lines (category=/code, priority=80)
2026/05/19 15:33:44.498609 [DEBUG] Registered tool: delete_lines (category=/code, priority=75)
2026/05/19 15:33:44.498609 [DEBUG] Registered tool: run_impacted_tests (category=/test, priority=60)
2026/05/19 15:33:44.498609 [DEBUG] Registered tool: get_impacted_tests (category=/test, priority=55)
2026/05/19 15:33:44.498609 [DEBUG] Registered tool: get_elements (category=/code, priority=80)
2026/05/19 15:33:44.498609 [DEBUG] Registered tool: get_element (category=/code, priority=80)
2026/05/19 15:33:44.498609 [DEBUG] Registered tool: edit_lines (category=/code, priority=80)
